Args: Namespace(data='data/enwik8/', model='LSTM', emsize=1024, nhid=4096, nlayers=4, lr=0.01, clip=0.25, epochs=20, batch_size=16, bptt=1024, warmup=3000, cooldown=None, accumulate=4, dropout=0.3, dropouth=0.3, dropouti=0.3, dropoute=0.1, wdrop=0.0, seed=5512, nonmono=5, cuda=True, log_interval=300, save='sha_cuda_1head_logweight_Odiv10_10k_fastem_hisattn.pt', alpha=2, beta=1, wdecay=1.2e-06, resume='', optimizer='adamw', when=[-1], ce_weight=True, tied=True)
Model total parameters: 101874701
| epoch   2 |  3300/10519 batches | lr 0.00916 | ms/batch 763.98 | loss  2.40 | ppl    10.97 | bpc    3.455 | acc 0.74301 | tag_acc 0.04090
| epoch   2 |  3600/10519 batches | lr 0.00912 | ms/batch 705.93 | loss  2.46 | ppl    11.71 | bpc    3.550 | acc 0.33005 | tag_acc 0.08862
| epoch   2 |  3900/10519 batches | lr 0.00908 | ms/batch 794.24 | loss  2.45 | ppl    11.63 | bpc    3.540 | acc 0.30941 | tag_acc 0.08667
| epoch   2 |  4200/10519 batches | lr 0.00904 | ms/batch 759.47 | loss  2.39 | ppl    10.91 | bpc    3.447 | acc 0.59724 | tag_acc 0.03373
| epoch   2 |  4500/10519 batches | lr 0.00900 | ms/batch 802.94 | loss  2.41 | ppl    11.16 | bpc    3.480 | acc 0.63749 | tag_acc 0.03745
| epoch   2 |  4800/10519 batches | lr 0.00896 | ms/batch 803.39 | loss  2.46 | ppl    11.73 | bpc    3.552 | acc 0.55146 | tag_acc 0.05685
| epoch   2 |  5100/10519 batches | lr 0.00891 | ms/batch 757.13 | loss  2.44 | ppl    11.45 | bpc    3.518 | acc 0.71802 | tag_acc 0.02485
| epoch   2 |  5400/10519 batches | lr 0.00887 | ms/batch 706.69 | loss  2.42 | ppl    11.24 | bpc    3.491 | acc 0.64489 | tag_acc 0.04480
| epoch   2 |  5700/10519 batches | lr 0.00882 | ms/batch 789.78 | loss  2.47 | ppl    11.78 | bpc    3.558 | acc 0.69248 | tag_acc 0.03017
| epoch   2 |  6000/10519 batches | lr 0.00877 | ms/batch 820.42 | loss  2.44 | ppl    11.48 | bpc    3.522 | acc 0.56228 | tag_acc 0.05970
| epoch   2 |  6300/10519 batches | lr 0.00873 | ms/batch 732.37 | loss  2.46 | ppl    11.72 | bpc    3.551 | acc 0.66601 | tag_acc 0.04349
| epoch   2 |  6600/10519 batches | lr 0.00868 | ms/batch 801.46 | loss  2.44 | ppl    11.42 | bpc    3.514 | acc 0.52508 | tag_acc 0.04744
| epoch   2 |  6900/10519 batches | lr 0.00863 | ms/batch 823.00 | loss  2.45 | ppl    11.55 | bpc    3.530 | acc 0.46492 | tag_acc 0.04757
| epoch   2 |  7200/10519 batches | lr 0.00858 | ms/batch 815.50 | loss  2.44 | ppl    11.47 | bpc    3.519 | acc 0.47344 | tag_acc 0.06718
| epoch   2 |  7500/10519 batches | lr 0.00853 | ms/batch 777.10 | loss  2.42 | ppl    11.26 | bpc    3.493 | acc 0.61839 | tag_acc 0.04485
