Args: Namespace(accumulate=4, alpha=2, batch_size=16, beta=1, bptt=1024, ce_weight=True, clip=0.25, cooldown=None, criterion='MSE', cuda=True, data='data/enwik8/', dropout=0.3, dropoute=0.1, dropouth=0.3, dropouti=0.3, emsize=1024, epochs=15, language_model=False, log_interval=300, lr=0.0004, model='BERT', nhid=4096, nlayers=4, nonmono=5, optimizer='adamw', resume='', save='BERT.pt', seed=5512, tied=True, warmup=3000, wdecay=1.2e-06, wdrop=0.0, when=[-1])
Model total parameters: 37327885
| epoch   1 |  7500/10519 batches | lr 0.00038 | ms/batch 65.65 | loss  0.28 | ppl     1.33 | bpc    0.407 | acc 0.97638 | tag_acc 0.89884
| epoch   1 |  7800/10519 batches | lr 0.00038 | ms/batch 66.31 | loss  0.30 | ppl     1.36 | bpc    0.439 | acc 0.97328 | tag_acc 0.88004
| epoch   1 |  8100/10519 batches | lr 0.00038 | ms/batch 65.64 | loss  0.28 | ppl     1.33 | bpc    0.408 | acc 0.97241 | tag_acc 0.88817
| epoch   1 |  8400/10519 batches | lr 0.00038 | ms/batch 65.47 | loss  0.26 | ppl     1.29 | bpc    0.371 | acc 0.97767 | tag_acc 0.89658
| epoch   1 |  8700/10519 batches | lr 0.00038 | ms/batch 65.19 | loss  0.25 | ppl     1.29 | bpc    0.365 | acc 0.97519 | tag_acc 0.90019
| epoch   1 |  9000/10519 batches | lr 0.00038 | ms/batch 64.64 | loss  0.26 | ppl     1.30 | bpc    0.376 | acc 0.96815 | tag_acc 0.89475
| epoch   1 |  9300/10519 batches | lr 0.00037 | ms/batch 65.55 | loss  0.27 | ppl     1.31 | bpc    0.384 | acc 0.97793 | tag_acc 0.89706
| epoch   1 |  9600/10519 batches | lr 0.00037 | ms/batch 64.84 | loss  0.35 | ppl     1.42 | bpc    0.505 | acc 0.97035 | tag_acc 0.88597
| epoch   1 |  9900/10519 batches | lr 0.00037 | ms/batch 65.94 | loss  0.27 | ppl     1.31 | bpc    0.389 | acc 0.97820 | tag_acc 0.89798
| epoch   1 | 10200/10519 batches | lr 0.00037 | ms/batch 65.69 | loss  0.23 | ppl     1.26 | bpc    0.337 | acc 0.97802 | tag_acc 0.91201
| epoch   1 | 10500/10519 batches | lr 0.00037 | ms/batch 64.96 | loss  0.23 | ppl     1.25 | bpc    0.325 | acc 0.97865 | tag_acc 0.90512
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 720.08s | valid loss  0.28 | valid ppl     1.33 | valid bpc    0.410 | valid acc 0.97585 | valid tag acc 0.88884
-----------------------------------------------------------------------------------------
Saving model (new best validation)
| epoch   2 |   300/10519 batches | lr 0.00036 | ms/batch 64.93 | loss  0.19 | ppl     1.21 | bpc    0.278 | acc 0.98423 | tag_acc 0.91909
| epoch   2 |   600/10519 batches | lr 0.00036 | ms/batch 65.81 | loss  0.24 | ppl     1.26 | bpc    0.339 | acc 0.97805 | tag_acc 0.90994
| epoch   2 |   900/10519 batches | lr 0.00036 | ms/batch 65.26 | loss  0.27 | ppl     1.31 | bpc    0.389 | acc 0.97746 | tag_acc 0.90292
| epoch   2 |  1200/10519 batches | lr 0.00036 | ms/batch 65.34 | loss  0.22 | ppl     1.24 | bpc    0.314 | acc 0.97742 | tag_acc 0.90187
| epoch   2 |  1500/10519 batches | lr 0.00036 | ms/batch 66.18 | loss  0.22 | ppl     1.25 | bpc    0.319 | acc 0.98048 | tag_acc 0.90779
| epoch   2 |  1800/10519 batches | lr 0.00035 | ms/batch 65.48 | loss  0.22 | ppl     1.24 | bpc    0.310 | acc 0.97929 | tag_acc 0.91379
| epoch   2 |  2100/10519 batches | lr 0.00035 | ms/batch 66.00 | loss  0.22 | ppl     1.25 | bpc    0.318 | acc 0.97869 | tag_acc 0.91647
| epoch   2 |  2400/10519 batches | lr 0.00035 | ms/batch 65.49 | loss  0.28 | ppl     1.32 | bpc    0.399 | acc 0.97331 | tag_acc 0.89041
| epoch   2 |  2700/10519 batches | lr 0.00035 | ms/batch 65.96 | loss  0.24 | ppl     1.28 | bpc    0.351 | acc 0.98153 | tag_acc 0.91132
| epoch   2 |  3000/10519 batches | lr 0.00034 | ms/batch 65.42 | loss  0.23 | ppl     1.26 | bpc    0.329 | acc 0.97992 | tag_acc 0.91714
| epoch   2 |  3300/10519 batches | lr 0.00034 | ms/batch 65.79 | loss  0.20 | ppl     1.22 | bpc    0.282 | acc 0.98280 | tag_acc 0.91983
| epoch   2 |  3600/10519 batches | lr 0.00034 | ms/batch 65.60 | loss  0.23 | ppl     1.26 | bpc    0.333 | acc 0.97850 | tag_acc 0.91196
| epoch   2 |  3900/10519 batches | lr 0.00033 | ms/batch 64.14 | loss  0.19 | ppl     1.22 | bpc    0.281 | acc 0.98228 | tag_acc 0.92678
| epoch   2 |  4200/10519 batches | lr 0.00033 | ms/batch 63.47 | loss  0.15 | ppl     1.16 | bpc    0.213 | acc 0.98446 | tag_acc 0.93591
